00000000000000000000000000000001, 00000000000000000011100010110101, 00000001110000110001100010001111, 00000000000000000000000000000000
00000000000000000000000000000011, 00000000000000000011100010110101, 00000001110000110001100001001100, 00000000000000000000000000000000
00000000000000000000000000000111, 00000000000000000011100010110101, 00000001110000110001011111001000, 00000000000000000000000000000000
00000000000000000000000000001111, 00000000000000000011100010110101, 00000001110000110001011101000101, 00000000000000000000000000000000
00000000000000000000000000011111, 00000000000000000011100010110100, 00000001110000110001011000111100, 00000000000000000000000000000000
00000000000000000000000000111111, 00000000000000000011100010110011, 00000001110000110001010000110110, 00000000000000000000000000000000
00000000000000000000000001111111, 00000000000000000011100010110001, 00000001110000110001000000101011, 00000000000000000000000000000000
00000000000000000000000011111111, 00000000000000000011100010101101, 00000001110000110000100000001010, 00000000000000000000000000000000
00000000000000000000000111111111, 00000000000000000011100010100101, 00000001110000101111011110111101, 00000000000000000000000000000000
00000000000000000000001111111111, 00000000000000000011100010010100, 00000001110000101101011100110000, 00000000000000000000000000000000
00000000000000000000011111111111, 00000000000000000011100001110011, 00000001110000101001010111101111, 00000000000000000000000000000000
00000000000000000000111111111111, 00000000000000000011100000110001, 00000001110000100001001100101000, 00000000000000000000000000000000
00000000000000000001111111111111, 00000000000000000011011110101110, 00000001110000010000110000101001, 00000000000000000000000000000000
00000000000000000011111111111111, 00000000000000000011011010100110, 00000001101111101111100011000000, 00000000000000000000000000000000
00000000000000000111111111111111, 00000000000000000011010010010111, 00000001101110101011101111110001, 00000000000000001001101010011000
00000000000000001111111111111111, 00000000000000000011000001111001, 00000001101100011110100010011000, 00000000000000011001000000000000
00000000000000011111111111111111, 00000000000000000010100000111100, 00000001100111101100110011101111, 00000000000000011001000000000000
00000000000000111111111111111111, 00000000000000000001011111000000, 00000001011100100101010110011010, 00000000000000011001000000000000
00000000000001111111111111111111, 00000000000000000000100100111101, 00000000111111010101000010010000, 00000000000000011001000000000000
00000000000011111111111111111111, 00000000000000000100101101001110, 00000000011001101110010000110100, 00000000000000000000000000000000
00000000000111111111111111111111, 00000000000000001100111111001110, 00000011100101011000010000111010, 00000000000000000000000000000000
00000000001111111111111111111111, 00000000000000011101101001000101, 00000011010110101101100100110111, 00000000000000000000000000000000
00000000011111111111111111111111, 00000000000000111111010100001111, 00000001011101100110000110100101, 00000000000000000000000000000000
00000000111111111111111111111111, 00000000000010000100001000010011, 00000000100100110011000010101111, 00000000000000000000000000000000
00000001111111111111111111111111, 00000000000100010011100111011011, 00000000001100011000101010110011, 00000000000000000000000000000000
00000011111111111111111111111111, 00000000001001001010000001101011, 00000000000001010111110000111101, 00000000000000000000000000000000
00000111111111111111111111111111, 00000000010100010100100110001011, 00000000000011101011000111001110, 00000000000000000000000000000000
00001111111111111111111111111111, 00000000110000100000101111001010, 00000000000101111000000101100110, 00000000000000000000000000000000
00011111111111111111111111111111, 00000010000000010101000001001001, 00000000000110101101111000000000, 00000000000000000000000000000000
00111111111111111111111111111111, 00000101111101101101100101001000, 00000000000110111110010001101010, 00000000000000000000000000000000
01111111111111111111111111111111, 00010011101111011110101101000101, 00000000000111000010000101001101, 00000000000000000000000000000000
11111111111111111111111111111111, 01000110101111000000111100111111, 00000000000111000010110000100000, 00000000000000000000000000000000
11111111111111111111111111111110, 01000110101111000000111100111111, 00000000000111000010110000100000, 00000000000000000000000000000000
11111111111111111111111111111100, 01000110101111000000111100111111, 00000000000111000010110000100000, 00000000000000000000000000000000
11111111111111111111111111111000, 01000110101111000000111100111111, 00000000000111000010110000100000, 00000000000000000000000000000000
11111111111111111111111111110000, 01000110101111000000111100111111, 00000000000111000010110000100000, 00000000000000000000000000000000
11111111111111111111111111100000, 01000110101111000000111100110110, 00000000000111000010110000100000, 00000000000000000000000000000000
11111111111111111111111111000000, 01000110101111000000111100100110, 00000000000111000010110000100000, 00000000000000000000000000000000
11111111111111111111111110000000, 01000110101111000000111100000101, 00000000000111000010110000100000, 00000000000000000000000000000000
11111111111111111111111100000000, 01000110101111000000111011000010, 00000000000111000010110000100000, 00000000000000000000000000000000
11111111111111111111111000000000, 01000110101111000000111000111101, 00000000000111000010110000100000, 00000000000000000000000000000000
11111111111111111111110000000000, 01000110101111000000110100110010, 00000000000111000010110000100000, 00000000000000000000000000000000
11111111111111111111100000000000, 01000110101111000000101100011101, 00000000000111000010110000100000, 00000000000000000000000000000000
11111111111111111111000000000000, 01000110101111000000011011110011, 00000000000111000010110000100000, 00000000000000000000000000000000
11111111111111111110000000000000, 01000110101110111111111010100000, 00000000000111000010110000100000, 00000000000000000000000000000000
11111111111111111100000000000000, 01000110101110111110110111111000, 00000000000111000010110000100000, 00000000000000000000000000000000
11111111111111111000000000000000, 01000110101110111100110010101001, 00000000000111000010110000100000, 00000000000000000000000000000000
11111111111111110000000000000000, 01000110101110111000101000001011, 00000000000111000010110000100000, 00000000000000000000000000000000
11111111111111100000000000000000, 01000110101110110000010011010000, 00000000000111000010110000100000, 00000000000000000000000000000000
11111111111111000000000000000000, 01000110101110011111101001011010, 00000000000111000010110000100000, 00000000000000000000000000000000
11111111111110000000000000000000, 01000110101101111110010101110100, 00000000000111000010110000100000, 00000000000000000000000000000000
11111111111100000000000000000000, 01000110101100111011101111000001, 00000000000111000010110000100000, 00000000000000000000000000000000
11111111111000000000000000000000, 01000110101010110110100010111000, 00000000000111000010110000100000, 00000000000000000000000000000000
11111111110000000000000000000000, 01000110100110101100010000011101, 00000000000111000010110000011111, 00000000000000000000000000000000
11111111100000000000000000000000, 01000110011110011000000011000011, 00000000000111000010110000011110, 00000000000000000000000000000000
11111111000000000000000000000000, 01000110001101110001000101111111, 00000000000111000010110000011011, 00000000000000000000000000000000
11111110000000000000000000000000, 01000101101100101001000010110111, 00000000000111000010110000010110, 00000000000000000000000000000000
11111100000000000000000000000000, 01000100101010110000011000100111, 00000000000111000010110000001011, 00000000000000000000000000000000
11111000000000000000000000000000, 01000010101000011100110100000111, 00000000000111000010101111110100, 00000000000000000000000000000000
11110000000000000000000000000000, 00111110101001101100101011000111, 00000000000111000010101111000011, 00000000000000000000000000000000
11100000000000000000000000000000, 00110111000011101000011001001000, 00000000000111000010101101001001, 00000000000000000000000000000000
11000000000000000000000000000000, 00101001010101001111110101001000, 00000000000111000010100111010100, 00000000000000000000000000000000
10000000000000000000000000000000, 00010011101111011110101101001001, 00000000000111000010000101001101, 00000000000000000000000000000000
00000000000000000000000000000000, 00000000000000000011100010110101, 00000001110000110001100010110000, 00000000000000000000000000000000
